endpoint,mode,metric,sigma,beta,bnn,null,delta
spearman_rho,nearest,top1_recovery,total,0.0,0.0,0.0,0.0
spearman_rho,nearest,top1_recovery,epi_ale,1.0,0.3333333333333333,0.0,0.3333333333333333
spearman_rho,nearest,top1_recovery,epi_only,0.0,0.0,0.0,0.0
spearman_rho,avg_all,top1_recovery,total,2.0,0.3333333333333333,0.5,-0.16666666666666669
spearman_rho,avg_all,top1_recovery,epi_ale,0.0,0.3333333333333333,0.5,-0.16666666666666669
spearman_rho,avg_all,top1_recovery,epi_only,1.0,0.5,0.5,0.0
spearman_rho,distance_weighted,top1_recovery,total,2.0,0.3333333333333333,0.5,-0.16666666666666669
spearman_rho,distance_weighted,top1_recovery,epi_ale,0.0,0.3333333333333333,0.5,-0.16666666666666669
spearman_rho,distance_weighted,top1_recovery,epi_only,0.5,0.5,0.5,0.0
spearman_rho,formaldehyde,top3_recovery,total,0.0,0.5333333333333333,0.5333333333333333,0.0
spearman_rho,formaldehyde,top3_recovery,epi_ale,0.0,0.5333333333333333,0.5333333333333333,0.0
spearman_rho,formaldehyde,top3_recovery,epi_only,0.0,0.5333333333333333,0.5333333333333333,0.0
spearman_rho,nearest,top3_recovery,total,0.0,0.27777777777777773,0.38888888888888884,-0.1111111111111111
spearman_rho,nearest,top3_recovery,epi_ale,1.0,0.611111111111111,0.38888888888888884,0.2222222222222222
spearman_rho,nearest,top3_recovery,epi_only,0.0,0.27777777777777773,0.38888888888888884,-0.1111111111111111
spearman_rho,avg_all,top3_recovery,total,2.0,0.6666666666666666,0.7777777777777777,-0.11111111111111105
spearman_rho,avg_all,top3_recovery,epi_ale,0.0,0.611111111111111,0.7777777777777777,-0.16666666666666663
spearman_rho,avg_all,top3_recovery,epi_only,1.0,0.7777777777777777,0.7777777777777777,0.0
spearman_rho,distance_weighted,top3_recovery,total,2.0,0.6666666666666666,0.7777777777777777,-0.11111111111111105
spearman_rho,distance_weighted,top3_recovery,epi_ale,0.0,0.611111111111111,0.7777777777777777,-0.16666666666666663
spearman_rho,distance_weighted,top3_recovery,epi_only,0.5,0.7777777777777777,0.7777777777777777,0.0
spearman_rho,formaldehyde,top5_recovery,total,0.0,0.48,0.52,-0.040000000000000036
spearman_rho,formaldehyde,top5_recovery,epi_ale,0.0,0.4800000000000001,0.52,-0.039999999999999925
spearman_rho,formaldehyde,top5_recovery,epi_only,0.0,0.52,0.52,0.0
spearman_rho,nearest,top5_recovery,total,0.0,0.26666666666666666,0.30000000000000004,-0.03333333333333338
spearman_rho,nearest,top5_recovery,epi_ale,1.0,0.5000000000000001,0.30000000000000004,0.20000000000000007
spearman_rho,nearest,top5_recovery,epi_only,0.0,0.26666666666666666,0.30000000000000004,-0.03333333333333338
spearman_rho,avg_all,top5_recovery,total,2.0,0.5000000000000001,0.6333333333333333,-0.1333333333333332
spearman_rho,avg_all,top5_recovery,epi_ale,0.0,0.5,0.6333333333333333,-0.1333333333333333
spearman_rho,avg_all,top5_recovery,epi_only,1.0,0.6333333333333333,0.6333333333333333,0.0
spearman_rho,distance_weighted,top5_recovery,total,2.0,0.5000000000000001,0.6333333333333333,-0.1333333333333332
spearman_rho,distance_weighted,top5_recovery,epi_ale,0.0,0.5,0.6333333333333333,-0.1333333333333333
spearman_rho,distance_weighted,top5_recovery,epi_only,0.5,0.6333333333333333,0.6333333333333333,0.0
spearman_rho,formaldehyde,per_position_spearman_mean,total,0.0,0.4836600689753764,0.5540951483740868,-0.07043507939871041
spearman_rho,formaldehyde,per_position_spearman_mean,epi_ale,0.0,0.5035415734209089,0.5540951483740868,-0.050553574953177915
spearman_rho,formaldehyde,per_position_spearman_mean,epi_only,0.0,0.5418245722845594,0.5540951483740868,-0.012270576089527419
spearman_rho,nearest,per_position_spearman_mean,total,0.0,0.4333129314902766,0.7455772708173333,-0.31226433932705666
spearman_rho,nearest,per_position_spearman_mean,epi_ale,1.0,0.5614573350938966,0.7455772708173333,-0.18411993572343666
spearman_rho,nearest,per_position_spearman_mean,epi_only,0.0,0.655179057505542,0.7455772708173333,-0.09039821331179132
spearman_rho,avg_all,per_position_spearman_mean,total,2.0,0.46496591504959456,0.6674550547065513,-0.20248913965695675
spearman_rho,avg_all,per_position_spearman_mean,epi_ale,0.0,0.5822717785501008,0.6674550547065513,-0.0851832761564505
spearman_rho,avg_all,per_position_spearman_mean,epi_only,1.0,0.6418178296930172,0.6674550547065513,-0.02563722501353416
spearman_rho,distance_weighted,per_position_spearman_mean,total,2.0,0.4622305203246815,0.6666453820371024,-0.20441486171242096
spearman_rho,distance_weighted,per_position_spearman_mean,epi_ale,0.0,0.5838488726399441,0.6666453820371024,-0.08279650939715832
spearman_rho,distance_weighted,per_position_spearman_mean,epi_only,0.5,0.644182315330511,0.6666453820371024,-0.022463066706591484
spearman_rho,formaldehyde,per_position_ndcg_mean,total,0.0,0.9184375396025365,0.9217857637776643,-0.003348224175127812
